eqid,_lmc_source_pos,_source_index,_lmc_selected_rank,_lmc_event_rows_available,_lmc_event_rows_selected,station_latitude,station_longitude,scaled_deltaWT001,scaled_deltaWT003,scaled_deltaWT006,scaled_deltaWT010,scaled_deltaWT030,scaled_deltaWT060,scaled_deltaWT100,scaled_deltaWT300,scaled_deltaWT600
113,113,113,24,106,80,34.2,-118.231,0.8705645098295375,0.8954976250182574,1.113888530000697,0.6817329221033548,0.2608488125522741,1.2383096686290245,-0.0090913984663072,,
113,143,143,25,106,80,34.674,-118.43,0.0152224235558678,-0.0466214857593405,-0.1573936225999444,-0.1404410717848818,0.61609295514257,0.3910164569118217,,,
113,138,138,26,106,80,33.84,-118.194,0.7599108208845121,0.8170572716473953,0.6061085677511844,0.1665078382599503,1.1581092169392462,1.4361058779463378,1.6697588165331605,0.2778580561998381,
113,102,102,27,106,80,34.459,-118.65,-0.0074311454403195,-0.0903443517205594,-0.5841728851285866,-0.537190195052742,0.1869044846388072,0.4214124216093395,0.4587015635792725,0.7219507040311302,
113,134,134,28,106,80,34.046,-118.355,-0.0390396445825342,-0.0885822849347908,0.2098855350474499,0.0265458319562056,-0.623000058335501,-1.6551108576136528,-1.0750932592222664,-0.9409301904804492,
113,104,104,29,106,80,33.899,-118.196,1.4780591075152778,1.453368138426885,1.6318205045090437,1.2952429170027873,0.9971372082612912,1.3616146505185642,1.6786795680773998,-0.0871142301367154,
113,118,118,30,106,80,33.905,-118.279,1.1968231968808951,1.2571457888894233,1.428725009759129,1.8710289767717223,0.43454492338221,0.946891308280301,1.1314452072785692,0.0474732575488696,
113,163,163,31,106,80,34.25,-118.42,0.7686404047438101,0.7851641372066375,0.8971710905640448,1.316261901489468,0.467935437876623,0.3828057724888097,0.2568395756788073,-0.5796695796005319,
113,165,165,32,106,80,34.139,-118.121,-0.8550756107508899,-0.7863086475407428,-1.168889094203743,-0.8267599655596145,-0.9050470412778208,-0.3602918063723748,-0.14440478993309,0.7594279381101466,
113,130,130,33,106,80,34.111,-118.189,-0.5923911757269582,-0.6195719354002088,-0.2108550911818648,-0.6833776954792448,-0.8162155164231546,0.1660958342414081,0.2224623669014446,,
113,90,90,34,106,80,34.127,-118.405,0.4021431690221616,0.2504974697742614,-0.1055811130497535,0.0471667187372219,0.8377715180478661,0.3820582679500036,0.0386319286935383,-1.3228325005230834,
113,99,99,35,106,80,34.419,-118.426,1.1206106921826045,1.1141812630972503,0.5618417508943181,0.4464422862680127,1.352782698908881,1.1839899751597918,0.3153063099889137,,
113,145,145,36,106,80,34.688,-118.156,0.8261738856701996,0.788958876595922,0.7702141563257735,0.9703407037274696,1.2151143836934182,0.0454163225320663,-0.5271530397872611,1.2007255553244056,
113,122,122,37,106,80,34.063,-118.418,-0.4972247851827303,-0.4375801186304326,0.2413540960578748,0.1508140791207578,-0.9051405914080878,-0.9223145022342052,-0.7914391629681867,-1.4187934775958608,
113,164,164,38,106,80,34.222,-118.442,0.3623195708064089,0.3232323316628201,0.131944958386732,0.0985396795629151,0.7941202306235389,0.9015666244816584,0.154394194946641,-0.5997758048439076,
113,100,100,39,106,80,33.9121,-117.838,0.5404664981168967,0.5539254014540239,0.9721324809529018,0.9125130093938172,0.0996848463958884,-0.0508168776389735,-1.5923966677190695,,
113,148,148,40,106,80,34.604,-118.244,-0.3216977875178781,-0.2758044952824285,0.1390983016551225,0.5114914640650459,0.1590654957527902,-0.7844592253913096,-1.497906236586691,,
113,89,89,41,106,80,33.965,-118.158,0.2194951677705907,0.6228910606291096,0.4034132482904838,0.2704425841741771,-0.4579473183559374,0.9381137555763356,1.0470677089501503,0.1257564607851926,
113,96,96,42,106,80,34.168,-118.331,0.7120699068907976,0.6984902018568337,0.8688369755454254,0.4869467008955535,1.420796145743164,0.7936867271056146,0.4777816451548694,-0.3980952868724737,
113,121,121,43,106,80,34.001,-118.431,-1.165668832425057,-1.0556385197381972,-0.8127399181276395,-0.427828964049757,-2.512022485330495,-1.442171165644105,-1.57749932449676,-0.8764124608437165,
113,174,174,44,106,80,34.115,-118.13,-0.6134852317698183,-0.5215767484783275,-0.1137677861978618,-0.2339441019474027,-1.3474539054481558,-0.3607851952441807,0.1799150466701113,,
113,180,180,45,106,80,34.269,-118.303,-0.5268518439239858,-0.6014833871212233,-0.7737655861910498,-1.1447783226168322,-0.4447531955113279,0.3243696609109129,0.3220746791400284,0.3621737714050643,
113,183,183,46,106,80,34.16,-118.534,3.922117487548901,3.9850170499293633,4.033433506103307,3.2603884098977103,4.39958750138187,1.8489095536131164,0.4162486660488347,0.3848013551180414,
113,140,140,47,106,80,34.238,-118.254,0.4499890543270939,0.397076529647664,0.2525535853943997,0.8039511881601866,0.0369487733587992,1.4902063119573377,0.79477657230001,,
113,149,149,48,106,80,34.045,-118.638,0.392777753367217,0.3096339740859919,-0.1742269582241937,0.02151561609949,0.4516864909537341,-0.4765989122647039,-0.6700864335167929,,
113,146,146,49,106,80,33.897,-118.346,-1.41705409837481,-1.4216905634892152,-1.2286692943375492,-0.8829477662297717,-0.8354871514456608,-0.4706757833541481,0.3183183982088689,,
113,157,157,50,106,80,34.391,-118.622,0.538390939812449,0.5162055068281926,0.2242437900260785,-0.1180517360462614,0.9345517194326404,0.8383905922632144,-0.3251754928902406,,
